rank,front,meaning,pos,frequency,cle_wordnet,cle_closed_class,readurdu_entry,readurdu_meaning,kaikki_entry,kaikki_meaning,source
2084,محرم,"(n. of place fr. حرم 'to be forbidden; to be sacred'), s.m. A spouse, consort; anyone to whom the ḥaram or…",closed-class,321,False,True,True,"(n. of place fr. حرم 'to be forbidden; to be sacred'), s.m. A spouse, consort; anyone to whom the ḥaram or…",False,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2085,مشقت,"n. toil, trouble | Platts: (for A. مشقة, inf. n. of شقّ 'to distress; to be distressing; to be difficult,' &c.), s.f. Inconvenience,…",noun,321,False,False,True,"n. toil, trouble | Platts: (for A. مشقة, inf. n. of شقّ 'to distress; to be distressing; to be difficult,' &c.), s.f. Inconvenience,…",True,"toil, trouble","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2086,اصطلاح,"n. idiom, term, vocable | Platts: s.f. Phrase, phraseology, idiom, usage; accepted signification, conventional meaning; conventional term,…",noun,320,False,False,True,"n. idiom, term, vocable | Platts: s.f. Phrase, phraseology, idiom, usage; accepted signification, conventional meaning; conventional term,…",True,"idiom, term, vocable","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2087,بچو,"n. vocative plural of بَچَّہ (bacca, “kid; boy”) | Platts: (imper. of baćnā), intj. Out of the way! take care! look out! ( = bać, q.v.). | also: plural vocative of بَچَّہ (bacca — baby; kid, child (of any gender))",noun,320,False,False,True,"n. vocative plural of بَچَّہ (bacca, “kid; boy”) | Platts: (imper. of baćnā), intj. Out of the way! take care! look out! ( = bać, q.v.). | also: plural vocative of بَچَّہ (bacca — baby; kid, child (of any gender))",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2088,زلزلوں,"oblique plural of زَلْزَلَہ (zalzala, “earthquake”) | also: plural oblique of زَلْزَلَہ (zalzala — earthquake, seism)",noun,319,False,False,True,"oblique plural of زَلْزَلَہ (zalzala, “earthquake”) | also: plural oblique of زَلْزَلَہ (zalzala — earthquake, seism)",True,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2089,گندگی,"n. filth, dirt; rubbish, litter | Platts: s.f. Stink, stench; rottenness, putrefaction; — filth; ordure: — gandagī phailānā, To strew filth about; to…",noun,319,False,False,True,"n. filth, dirt; rubbish, litter | Platts: s.f. Stink, stench; rottenness, putrefaction; — filth; ordure: — gandagī phailānā, To strew filth about; to…",True,"filth, dirt; rubbish, litter","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2090,صابن,soap; washing powder (ie. for a washing machine etc.),noun,318,False,False,True,soap; washing powder (ie. for a washing machine etc.),True,soap; washing powder (ie. for a washing machine etc.),"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2091,عرق,"n. sweat, perspiration, exuded moisture; juice, essence; liquor, distillate, spirit | Platts: (inf. n. of عرق 'to sweat'), s.m. Sweat; exuded moisture, exudation; moisture, sap, juice, liquor; extract,…",noun,318,False,False,True,"n. sweat, perspiration, exuded moisture; juice, essence; liquor, distillate, spirit | Platts: (inf. n. of عرق 'to sweat'), s.m. Sweat; exuded moisture, exudation; moisture, sap, juice, liquor; extract,…",True,"blood vessel; juice, essence; liquor, distillate, spirit","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2092,ڈاک,"mail, post; dak",noun,318,True,False,True,"mail, post; dak",True,"dak; mail, post","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2093,پرچم,"n. flag, banner | Platts: s.m. The fringed bunch or tassel of a spear or lance, or of a pair of colours",noun,317,False,False,True,"n. flag, banner | Platts: s.m. The fringed bunch or tassel of a spear or lance, or of a pair of colours",True,"flag, banner","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2094,حائل,"adj. intervening, interposing, restraining, preventing; hindering, standing in the way, disturbing | n. obstacle, impediment | Platts: (act. part. n. of حول 'to intervene,' &c.), part. & s.m. Intervening, interposing; preventing, hindering,…",adj|noun,316,False,False,True,"adj. intervening, interposing, restraining, preventing; hindering, standing in the way, disturbing | n. obstacle, impediment | Platts: (act. part. n. of حول 'to intervene,' &c.), part. & s.m. Intervening, interposing; preventing, hindering,…",True,"obstacle, impediment; hindering, standing in the way, disturbing; intervening, interposing, restraining, preventing","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2095,زرد,"adj. yellow | Platts: adj. Yellow (syn. pīlā); pale, pallid, wan, livid: — zard-āb, s.m. 'Yellow water'; bile; serum…",adj,316,True,False,True,"adj. yellow | Platts: adj. Yellow (syn. pīlā); pale, pallid, wan, livid: — zard-āb, s.m. 'Yellow water'; bile; serum…",True,yellow,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2096,تقوی,"n. taqwa – fear of God; piety; abstinence | Platts: s.m. Fear of God, piety; preserving or guarding oneself from sin; abstinence; continence: — ahl-ě-taqwā,…",noun,315,False,False,True,"n. taqwa – fear of God; piety; abstinence | Platts: s.m. Fear of God, piety; preserving or guarding oneself from sin; abstinence; continence: — ahl-ě-taqwā,…",True,taqwa – fear of God; piety; abstinence,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2097,دہلوی,adj. Delhiite | name: a surname transferred from the place name | n. Delhiite (a person from Delhi),adj|name|noun,315,False,False,True,adj. Delhiite | name: a surname transferred from the place name | n. Delhiite (a person from Delhi),True,Delhiite; a surname transferred from the place name,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2098,اڑا,form of اُڑانا (uṛānā — to cause to fly) | also: form of اُڑانا (uṛānā — to cause to fly),content word,314,True,False,True,form of اُڑانا (uṛānā — to cause to fly) | also: form of اُڑانا (uṛānā — to cause to fly),False,,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2099,آلہ,"n. tool, implement, instrument, device; weapon; appliance | Platts: (for A. آلة), s.m. Instrument, &c. = ālat, q.v.; (in Gram.) the instrumental case: — āla-i-ḥirfat, s.m.…",noun,314,False,False,True,"n. tool, implement, instrument, device; weapon; appliance | Platts: (for A. آلة), s.m. Instrument, &c. = ālat, q.v.; (in Gram.) the instrumental case: — āla-i-ḥirfat, s.m.…",True,weapon; appliance; contraption,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2100,پہیلی,"n. riddle; puzzle; enigma | Platts: s.f. A riddle, enigma",noun,314,False,False,True,"n. riddle; puzzle; enigma | Platts: s.f. A riddle, enigma",True,enigma; puzzle; riddle,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2101,گن,"n. quality, condition; characteristic, property; merit, virtue | Platts: s.m. Flock, troop, company, host, multitude, number, series; genus; group, class, category; tribe, sect,…",noun,314,False,False,True,"n. quality, condition; characteristic, property; merit, virtue | Platts: s.m. Flock, troop, company, host, multitude, number, series; genus; group, class, category; tribe, sect,…",True,"merit, virtue; quality, condition; characteristic, property","CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
2102,چادر,"n. covering; bedspread; bed sheet | Platts: s.f. A sheet; a table-cloth; a covering; a coverlet; a calico mantle or wrapper (of one fold, which reaches…",noun,313,False,False,True,"n. covering; bedspread; bed sheet | Platts: s.f. A sheet; a table-cloth; a covering; a coverlet; a calico mantle or wrapper (of one fold, which reaches…",True,chador; covering; bed sheet,"CLE Urdu 5,000 corpus frequency list + CLE lexical inventories; ReadUrdu/Kaikki semantics"
