rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags
1137,رقم,"(inf. n. of رقم 'to stamp, mark,' &c.), s.f. Mark, sign, price-mark; writing, hand-writing, character;…",explicit_review_required,4.900,False,False,,True,True,,
1138,آتے,inflection of आना (ānā); inflection of आना (ānā):,explicit_review_required,5.350,False,False,,True,True,,
1139,بنائے,made (plural),explicit_review_required,5.010,False,False,,True,True,,
1140,رہنے,oblique infinitive of رَہْنا (rahnā — to live) | also: plural infinitive of رَہْنا (rahnā — to live),explicit_review_required,5.270,False,False,,True,True,,
1141,عرصہ,"(for A. عرصة, v.n. fr. عرص 'to play, sport,' &c.), s.m. Court, open area (of a house, — the 'play-ground' of…",explicit_review_required,5.060,False,False,,True,True,,
1142,شوکت,"corr. shokat (for A. شوکة, n. of un. fr. shauk, inf. n. of شوك 'to pierce,' &c.), s.f. A thorn; — power,…",explicit_review_required,4.670,False,False,,True,True,,
1143,یونیورسٹی,university,explicit_review_required,5.340,False,False,,True,True,,
1144,شائع,published (شائع ہونا = to be published),explicit_review_required,5.210,False,False,,True,True,,
1145,برقرار,"established, confirmed, fixed, settled, maintained",explicit_review_required,4.980,False,False,,True,True,,
1146,حکام,"authorities, officials (plural of حاکم)",explicit_review_required,4.860,False,False,,True,True,,
1147,ملے,"met, received (plural)",explicit_review_required,5.290,False,False,,True,True,,
1148,نامہ نگار,correspondent (journalist who sends reports from abroad),explicit_review_required,4.700,True,True,"abroad,correspondent,journalist,report,reports,send,sends",False,,,
1149,سربراہ,"head, chief (of an organization)",explicit_review_required,5.060,False,False,,True,True,,
1150,بش,"s.m. Poison, &c. = bis, q.v.: — bish-kanyā, s.f. lit. 'Poison-damsel'…",explicit_review_required,4.030,False,False,,True,True,,
1151,الیکشن,election,explicit_review_required,5.540,False,False,,True,True,,
1152,منعقد,"(act. part. of اِنْعقد 'to become tied, or knit,' &c., vii of عقد 'to tie,' &c.), part. adj. Tied, knit;…",explicit_review_required,4.960,False,False,,True,True,,
1153,قائد,"(act. part. of قود 'to lead,' &c.), s.m. A leader; a general; — the last star in the tail of Ursa Minor",explicit_review_required,5.090,False,False,,True,True,,
1154,تبدیلی,"s.f. Transfer (of officials, &c.); relief (of a guard)",explicit_review_required,5.270,False,False,,True,True,,
1155,مشتمل,"comprising, consisting of (پر مشتمل)",explicit_review_required,5.180,False,False,,True,True,,
1156,رہتا,masculine singular of رَہْنا (rahnā — to live) | also: masculine of رَہْنا (rahnā — to live),explicit_review_required,5.220,False,False,,True,True,,
1157,فلموں,"plural oblique of فِلْم (film, movie)",explicit_review_required,4.780,False,False,,True,True,,
1158,بین الاقوامی,international,explicit_review_required,5.000,True,True,international,False,,,
1159,آپریشن,operation (military or medical),explicit_review_required,5.190,False,False,,True,True,,
1160,وفاقی,federal,explicit_review_required,5.120,False,False,,True,True,,
1161,ٹیکس,tax,explicit_review_required,4.960,False,False,,True,True,,
1162,حیدر,"(fr. حدر 'to be thick and strong'), s.m. A lion; a name of ʻAlī, son-in-law of Mohammad; a proper name",explicit_review_required,4.860,False,False,,True,True,,
1163,فروخت,"s.f. Selling; sale: — faroḵẖt karnā, v.t. To sell",explicit_review_required,4.920,False,False,,True,True,,
1164,نواز,"(fr. nawāḵẖtan; see nawāḵẖta), part. adj. & n. of ag., Caressing, soothing; cherishing; — playing (on a…",explicit_review_required,5.750,False,False,,True,True,,
1165,محفوظ,"(pass. part. of حفظ 'to keep, preserve, guard,' &c.), part. Kept safe, preserved, guarded, protected, taken…",explicit_review_required,5.210,False,False,,True,True,,
1166,نتیجے,"plural direct of نَتِیجَہ (natīja — result, consequence, end, outcome) | also: oblique singular of نَتِیجَہ (natīja — result, consequence, end, outcome)",explicit_review_required,5.270,False,False,,True,True,,
1167,دیتی,gives (feminine),explicit_review_required,5.190,False,False,,True,True,,
1168,فیصلے,plural direct of فَیصْلَہ (faisla — decision; judgment) | also: oblique singular of فَیصْلَہ (faisla — decision; judgment),explicit_review_required,5.080,False,False,,True,True,,
1169,فرمایا,"masculine singular of فَرْمانا (farmānā — to bequest, request; to utter, say graciously)",explicit_review_required,5.420,False,False,,True,True,,
1170,لیتے,take (plural),explicit_review_required,5.250,False,False,,True,True,,
1171,ٹاؤن,town,explicit_review_required,5.270,False,False,,True,True,,
1172,اپوزیشن,opposition (political),explicit_review_required,5.070,False,False,,True,True,,
1173,فروغ,"(for furoḵẖ, by change of خ to غ; see furoz, and furoḵẖta), s.m. Illumination, light, brightness, splendour;…",explicit_review_required,4.950,False,False,,True,True,,
1174,شمار,"s.f. Counting, reckoning, computing, numbering; calculation, amount, number; account, note, estimation: —…",explicit_review_required,5.350,False,False,,True,True,,
1175,فائنل,last round of a competition to decide the winner,explicit_review_required,4.920,False,False,,True,True,,
1176,عملی,"(rel. n. fr. ʻamal), adj. Practical (opp. to ʻilmī, 'theoretical'); to be done, fabrile, fictitious,…",explicit_review_required,5.030,False,False,,True,True,,
1177,ہاکی,hockey,explicit_review_required,4.520,False,False,,True,True,,
1178,مطالبہ,demand,explicit_review_required,5.260,False,False,,True,True,,
1179,چلا,"moved, went (of چلنا)",explicit_review_required,5.290,False,False,,True,True,,
1180,چیف,chief,explicit_review_required,5.580,False,False,,True,True,,
1181,دودہ,"(see dūd), s.m. Family; — lamp-black; soot",explicit_review_required,0.000,False,False,,True,True,,
1182,شعبہ,"(for A. شعبة shǒʻbat, v.n. fr. شعب 'to collect;' 'to separate,' &c.), s.m. A crack, cleft in a mountain; a…",explicit_review_required,5.030,False,False,,True,True,,
1183,ملین,"(act. part. of ليّن 'to smooth; to soften,' &c., ii of لان (for لين) 'to be smooth,' &c.), adj. & s.m.…",explicit_review_required,4.800,False,False,,True,True,,
1184,رہتی,feminine singular of رَہْنا (rahnā — to live) | also: feminine of رَہْنا (rahnā — to live),explicit_review_required,5.080,False,False,,True,True,,
1185,اکرم,"adj. compar. & superl. (of کريم karīm), Most merciful; very kind, very generous, bountiful",explicit_review_required,4.980,False,False,,True,True,,
1186,نمایاں,alternative form of नुमायान (numāyān),explicit_review_required,5.010,False,False,,True,True,,
1187,طریقے,plural direct of طَرِیقَہ (tarīqa — method) | also: oblique singular of طَرِیقَہ (tarīqa — method),explicit_review_required,4.910,False,False,,True,True,,
1188,یونین,operation denoted by symbol “∪” applied on two sets; the set of all distinct elements in the collection,explicit_review_required,5.080,False,False,,True,True,,
1189,ایل,the English letter L (in acronyms),explicit_review_required,5.320,False,False,,True,True,,
1190,طلبہ,"(for A. طلبة, pl. of t̤ālib), s.m. Students (see t̤ulabā)",explicit_review_required,4.950,False,False,,True,True,,
